account_id,customer_id,institution_id,account_number,account_type,account_status,account_open_date,available_balance
ACC000001,CUS007144,INS000003,6849704241698142,Current,Active,2020-12-17,30579.81
ACC000002,CUS008080,INS000002,0768170068143659,Current,Active,2019-02-16,45543.65
ACC000003,CUS007215,INS000003,7239766105417150,Savings,Active,2024-05-17,59180.8
ACC000004,CUS000897,INS000001,0760175180077842,Current,Inactive,2020-01-03,38610.31
ACC000005,CUS007583,INS000004,8455761867706672,Salary,Active,2025-12-07,18744.81
ACC000006,CUS006489,INS000004,1922834914309215,Current,Active,2019-04-11,9958.97
ACC000007,CUS003596,INS000001,2725978336740891,Salary,Active,2025-10-24,47379.15
ACC000008,CUS008468,INS000005,2059944769880122,Savings,Inactive,2026-01-14,6590.51
ACC000009,CUS008595,INS000002,5620836108802570,Current,Inactive,2021-02-17,43659.36
ACC000010,CUS002302,INS000001,1620637035595915,Savings,Active,2019-03-26,7981.32
ACC000011,CUS003049,INS000002,1676166296586360,Savings,Active,2018-12-21,7244.8
ACC000012,CUS002585,INS000004,2536873209225450,Current,Active,2020-07-25,2815.45
ACC000013,CUS004259,INS000004,8069409787387183,Current,Active,2025-01-06,13231.03
ACC000014,CUS005228,INS000005,4100066584843930,Savings,Active,2022-12-01,64056.41
ACC000015,CUS000243,INS000001,0460356089706493,Current,Closed,2020-11-20,42392.88
ACC000016,CUS002351,INS000005,7590447905830470,Savings,Active,2022-12-18,13974.94
ACC000017,CUS009155,INS000001,2789027645130050,Savings,Active,2026-04-25,9320.41
ACC000018,CUS009332,INS000002,1985754738808427,Current,Active,2020-05-09,115744.04
ACC000019,CUS001046,INS000003,4062828507255320,Savings,Active,2020-07-09,2486.38
ACC000020,CUS009679,INS000001,5285155013524711,Savings,Inactive,2019-07-21,21576.64
ACC000021,CUS009157,INS000004,7887505139184180,Savings,Active,2023-10-22,7249.66
ACC000022,CUS006634,INS000001,5141200740451569,Savings,Active,2021-03-06,25783.94
ACC000023,CUS002666,INS000001,9332769268994738,Savings,Active,2022-11-13,25231.17
ACC000024,CUS002012,INS000002,7930925239060563,Savings,Active,2019-04-10,58468.6
ACC000025,CUS006527,INS000002,6071241373949125,Savings,Active,2019-04-04,73919.1
ACC000026,CUS007298,INS000001,8193669436436531,Salary,Active,2022-09-26,3164.57
ACC000027,CUS005246,INS000003,4594568150895146,Savings,Active,2020-10-21,10313.72
ACC000028,CUS008562,INS000002,3187989763302304,Savings,Active,2021-11-16,23981.09
ACC000029,CUS001395,INS000002,2333883196025092,Savings,Inactive,2025-07-28,65656.3
ACC000030,CUS009021,INS000001,7040043866684707,Savings,Active,2023-03-01,39545.0
ACC000031,CUS006405,INS000003,2602757896636805,Savings,Closed,2026-05-10,6493.01
ACC000032,CUS002076,INS000004,3738088233097019,Savings,Inactive,2026-07-24,27293.64
ACC000033,CUS002897,INS000001,9824770751862109,Savings,Active,2024-11-24,50041.0
ACC000034,CUS008375,INS000002,8636782816896006,Savings,Active,2020-05-24,9029.69
ACC000035,CUS000376,INS000003,6881279042528465,Savings,Closed,2023-07-28,10626.56
ACC000036,CUS003991,INS000005,8068179224199797,Savings,Active,2022-06-22,12548.1
ACC000037,CUS008402,INS000002,0310808348098544,Savings,Active,2019-03-09,10856.8
ACC000038,CUS009078,INS000004,8789048334658672,Current,Inactive,2023-01-26,17719.99
ACC000039,CUS006260,INS000003,6021318066640599,Savings,Active,2023-05-27,21762.85
ACC000040,CUS003707,INS000005,7430878037825371,Savings,Active,2024-11-16,21762.89
ACC000041,CUS004468,INS000002,2688704155781373,Savings,Active,2019-03-04,34847.75
ACC000042,CUS000995,INS000005,1421756247994433,Savings,Active,2023-10-24,15693.38
ACC000043,CUS002490,INS000001,1782730597662084,Salary,Active,2025-08-06,7769.12
ACC000044,CUS002662,INS000002,0784640157746621,Savings,Active,2025-08-02,8573.11
ACC000045,CUS005491,INS000003,9978565255424586,Savings,Active,2025-04-15,36318.94
ACC000046,CUS003516,INS000004,6729299072267940,Savings,Active,2024-12-06,10283.29
ACC000047,CUS004063,INS000001,6015413827386883,Savings,Active,2023-09-23,32443.81
ACC000048,CUS005835,INS000003,3923898622546862,Savings,Active,2022-07-30,35491.64
ACC000049,CUS009547,INS000005,9661035657480843,Savings,Active,2020-11-15,62500.27
ACC000050,CUS005011,INS000003,7149262735060012,Current,Active,2024-11-08,8779.08
ACC000051,CUS007825,INS000002,6646096149091009,Savings,Closed,2023-02-24,9552.24
ACC000052,CUS005636,INS000001,1665954543001784,Savings,Active,2022-12-27,52424.79
ACC000053,CUS005516,INS000001,6274205225898730,Current,Active,2019-11-07,3467.54
ACC000054,CUS007921,INS000001,7321665691070861,Savings,Active,2020-12-17,40859.83
ACC000055,CUS001927,INS000005,1713402500642276,Savings,Active,2019-05-14,63356.28
ACC000056,CUS005077,INS000003,4349465265053477,Current,Active,2018-09-01,3551.96
ACC000057,CUS000229,INS000003,4116028595388755,Salary,Closed,2022-11-20,25261.29
ACC000058,CUS006586,INS000004,9875920415528230,Salary,Active,2024-10-16,13391.03
ACC000059,CUS006053,INS000002,1643032977444332,Savings,Inactive,2020-07-30,98046.92
ACC000060,CUS005688,INS000002,9457867404772464,Savings,Active,2022-11-16,121357.37
ACC000061,CUS008038,INS000005,9728341906710099,Savings,Active,2021-01-12,250474.93
ACC000062,CUS002640,INS000005,7844298299316421,Current,Active,2022-03-18,97698.09
ACC000063,CUS007967,INS000004,2826585970248910,Current,Inactive,2025-04-06,95067.48
ACC000064,CUS001295,INS000003,5579991584345651,Savings,Active,2024-05-28,312114.55
ACC000065,CUS004226,INS000001,2343440708063139,Current,Active,2024-12-01,25512.31
ACC000066,CUS001549,INS000005,5943578459073128,Current,Active,2024-08-19,41412.7
ACC000067,CUS005880,INS000003,2111264218154478,Savings,Active,2022-09-17,107185.73
ACC000068,CUS000517,INS000002,8937707050709506,Savings,Active,2024-05-10,20164.2
ACC000069,CUS003489,INS000001,2632762432657207,Savings,Active,2018-09-14,10377.89
ACC000070,CUS004608,INS000004,9804707893798775,Savings,Active,2019-10-10,12000.5
ACC000071,CUS003010,INS000003,2399963691845441,Current,Active,2023-02-27,16190.79
ACC000072,CUS008164,INS000005,9838579282629016,Savings,Active,2023-03-29,21191.75
ACC000073,CUS001981,INS000004,5159952747871553,Savings,Active,2021-04-05,11480.43
ACC000074,CUS005558,INS000002,3317931347561961,Salary,Active,2020-06-04,4091.34
ACC000075,CUS008417,INS000004,7650210002786499,Savings,Active,2026-01-19,77749.35
ACC000076,CUS002251,INS000001,5870051253806319,Savings,Active,2026-07-06,219139.89
ACC000077,CUS007912,INS000003,0537693287927462,Current,Active,2023-11-03,5215.69
ACC000078,CUS008328,INS000004,2689753115243872,Current,Active,2022-04-09,6511.25
ACC000079,CUS005153,INS000002,0757931444941996,Savings,Active,2021-12-09,11392.94
ACC000080,CUS009245,INS000002,4596243840927715,Salary,Active,2023-05-09,6325.73
ACC000081,CUS009567,INS000001,7368507051825110,Savings,Active,2026-08-03,14238.26
ACC000082,CUS003038,INS000003,3186720759144566,Salary,Active,2022-02-19,21917.32
ACC000083,CUS009544,INS000001,1966760150434010,Savings,Active,2025-01-20,37120.78
ACC000084,CUS006589,INS000005,2655764756657329,Savings,Active,2021-06-08,15640.19
ACC000085,CUS003930,INS000004,7741050685902330,Savings,Active,2021-03-23,97512.47
ACC000086,CUS001394,INS000003,9462147061653730,Salary,Active,2021-12-22,8297.12
ACC000087,CUS007860,INS000004,5342890781629309,Savings,Active,2024-04-01,12377.14
ACC000088,CUS000371,INS000002,6150710661690367,Savings,Active,2022-06-09,228324.78
ACC000089,CUS004734,INS000002,0590411797796319,Current,Active,2024-08-24,28172.46
ACC000090,CUS001660,INS000004,9467099608749612,Savings,Active,2025-06-08,35082.81
ACC000091,CUS009114,INS000005,2983087884779888,Salary,Active,2021-01-27,9662.25
ACC000092,CUS003444,INS000001,2437596868627482,Savings,Active,2022-01-25,26613.01
ACC000093,CUS007658,INS000005,3009715475950133,Savings,Active,2023-12-14,23453.1
ACC000094,CUS001277,INS000001,6721156781408282,Current,Closed,2022-11-23,24561.73
ACC000095,CUS006630,INS000001,4649137165094231,Savings,Active,2021-01-12,31346.11
ACC000096,CUS008794,INS000003,5963781319151813,Current,Active,2019-09-15,80368.84
ACC000097,CUS008411,INS000001,6900479046449405,Savings,Active,2023-05-14,6250.7
ACC000098,CUS009394,INS000005,8151939427891192,Savings,Inactive,2025-09-07,39786.78
ACC000099,CUS000209,INS000004,6890098606814416,Savings,Active,2023-01-13,28343.37
ACC000100,CUS003207,INS000003,6611772942067080,Savings,Active,2024-06-24,44103.04
ACC000101,CUS000211,INS000003,5858240497795724,Savings,Active,2020-08-06,58241.16
ACC000102,CUS000273,INS000001,0030315186175989,Savings,Active,2021-12-17,17862.07
ACC000103,CUS007328,INS000004,6224947641949583,Savings,Active,2018-09-15,17918.34
ACC000104,CUS006288,INS000001,2519901026334922,Salary,Active,2018-11-30,41861.03
ACC000105,CUS009919,INS000002,7770859426823955,Savings,Active,2024-12-02,9799.6
ACC000106,CUS003580,INS000003,4344821380115576,Salary,Active,2019-01-22,18919.51
ACC000107,CUS007502,INS000003,9415139855323750,Salary,Closed,2022-04-26,24548.61
ACC000108,CUS008694,INS000004,8397317525232434,Current,Active,2020-10-04,62573.33
ACC000109,CUS006588,INS000005,2139579656280733,Savings,Active,2025-01-19,25112.27
ACC000110,CUS003826,INS000005,5006455804829407,Salary,Closed,2022-05-10,26620.11
ACC000111,CUS003945,INS000004,8286255872937062,Savings,Active,2019-06-04,17593.21
ACC000112,CUS001110,INS000003,5873608055822623,Savings,Inactive,2026-01-15,29699.39
ACC000113,CUS003065,INS000005,1675011532703414,Salary,Active,2025-11-10,26408.63
ACC000114,CUS003152,INS000003,7756886371379987,Savings,Active,2022-05-17,11514.44
ACC000115,CUS008144,INS000001,0805382898122396,Current,Active,2019-05-01,41258.86
ACC000116,CUS001350,INS000001,5753764451256222,Savings,Active,2024-04-25,5860.8
