investigation_id,transaction_id,fraud_prediction_id,investigation_status,investigation_priority,investigator_name,investigation_notes,investigation_result,created_at,resolved_at
INV000001,TXN000011,FRD000011,Closed,High,Amara Guha,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-02-18 02:23:40,2024-02-20 02:23:40
INV000002,TXN000023,FRD000023,Closed,High,Anthony Bal,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2024-10-21 15:54:57,2024-10-28 15:54:57
INV000003,TXN000031,FRD000031,Closed,High,Amara Arya,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2026-06-02 11:51:11,2026-06-04 11:51:11
INV000004,TXN000067,FRD000067,Resolved,Critical,Chanakya Vala,High-risk fraudulent transaction requires immediate investigation.,False Positive,2024-09-22 12:29:05,2024-09-24 12:29:05
INV000005,TXN000129,FRD000129,In Progress,High,Damini Choudhary,Medium-risk fraudulent transaction flagged for detailed review.,,2025-07-11 21:14:07,
INV000006,TXN000137,FRD000137,Closed,Critical,Sathvik Kant,High-risk fraudulent transaction requires immediate investigation.,Confirmed Fraud,2025-06-05 14:56:41,2025-06-10 14:56:41
INV000007,TXN000139,FRD000139,In Progress,High,Indali Palan,Medium-risk fraudulent transaction flagged for detailed review.,,2025-12-20 16:26:58,
INV000008,TXN000240,FRD000240,Resolved,High,Anusha Aurora,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2026-02-03 18:18:39,2026-02-07 18:18:39
INV000009,TXN000412,FRD000412,Open,Critical,Ekta Chawla,High-risk fraudulent transaction requires immediate investigation.,,2024-04-09 05:37:03,
INV000010,TXN000480,FRD000480,In Progress,High,Ganga Mannan,Medium-risk fraudulent transaction flagged for detailed review.,,2025-05-05 00:01:43,
INV000011,TXN000490,FRD000490,Open,High,Yachana Choudhary,Medium-risk fraudulent transaction flagged for detailed review.,,2024-10-17 05:04:19,
INV000012,TXN000492,FRD000492,In Progress,High,Ekapad Devi,Medium-risk fraudulent transaction flagged for detailed review.,,2025-07-03 23:45:54,
INV000013,TXN000547,FRD000547,Open,High,Urvashi Wable,Medium-risk fraudulent transaction flagged for detailed review.,,2026-01-17 00:39:40,
INV000014,TXN000597,FRD000597,Resolved,High,Ekanta Doshi,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-03-25 02:09:50,2025-04-01 02:09:50
INV000015,TXN000813,FRD000813,In Progress,Critical,Aarini Radhakrishnan,High-risk fraudulent transaction requires immediate investigation.,,2024-11-02 16:11:52,
INV000016,TXN000954,FRD000954,Closed,Critical,Waida Ramakrishnan,High-risk fraudulent transaction requires immediate investigation.,Confirmed Fraud,2026-02-09 07:20:06,2026-02-12 07:20:06
INV000017,TXN000972,FRD000972,Resolved,High,Saanvi Saha,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-01-24 10:44:38,2024-01-28 10:44:38
INV000018,TXN001060,FRD001060,Open,Critical,Rishi Deol,High-risk fraudulent transaction requires immediate investigation.,,2026-05-10 21:44:29,
INV000019,TXN001087,FRD001087,Open,Critical,Aishani Sule,High-risk fraudulent transaction requires immediate investigation.,,2025-11-29 00:46:53,
INV000020,TXN001157,FRD001157,Closed,High,Yauvani Shukla,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-04-25 12:45:09,2024-04-26 12:45:09
INV000021,TXN001168,FRD001168,Resolved,High,Yadavi Arora,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2024-09-28 23:33:52,2024-10-05 23:33:52
INV000022,TXN001183,FRD001183,Open,High,Theodore Palla,Medium-risk fraudulent transaction flagged for detailed review.,,2025-05-05 20:29:40,
INV000023,TXN001219,FRD001219,Closed,High,Christopher Wali,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-10-06 06:08:27,2025-10-09 06:08:27
INV000024,TXN001222,FRD001222,Resolved,High,Henry Nagy,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2024-10-11 08:24:06,2024-10-17 08:24:06
INV000025,TXN001267,FRD001267,In Progress,High,Ganga Kale,Medium-risk fraudulent transaction flagged for detailed review.,,2024-12-20 22:54:42,
INV000026,TXN001425,FRD001425,Resolved,Critical,Nitara Datta,High-risk fraudulent transaction requires immediate investigation.,False Positive,2026-04-28 20:51:24,2026-05-01 20:51:24
INV000027,TXN001569,FRD001569,In Progress,High,Sanaya Wable,Medium-risk fraudulent transaction flagged for detailed review.,,2024-06-07 06:43:11,
INV000028,TXN001633,FRD001633,Open,Critical,Gaurav Mangal,High-risk fraudulent transaction requires immediate investigation.,,2025-06-22 01:14:26,
INV000029,TXN001801,FRD001801,Closed,High,Yagnesh Sandal,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2025-12-07 12:19:32,2025-12-12 12:19:32
INV000030,TXN001992,FRD001992,Closed,High,Xavier Jayaraman,Medium-risk fraudulent transaction flagged for detailed review.,False Positive,2026-01-13 05:36:55,2026-01-14 05:36:55
INV000031,TXN002000,FRD002000,Closed,High,Barkha Sem,Medium-risk fraudulent transaction flagged for detailed review.,Confirmed Fraud,2025-09-17 20:37:26,2025-09-20 20:37:26
